MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
367120230,2019-05-09T00:04:41,38.93325,-75.14618,7.5,-102.2,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
367006540,2019-05-09T00:04:48,39.50763,-75.5552,11.3,195.0,194.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
366914210,2019-05-09T00:04:51,38.82354,-75.11297,11.7,13.2,20.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
338447000,2019-05-09T00:04:42,39.17853,-75.2702,9.7,-80.6,330.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
371361000,2019-05-09T00:04:50,38.94717,-75.17275,3.5,-93.6,309.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
369235000,2019-05-09T00:05:21,38.93382,-75.14847,5.3,-114.9,286.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,B
249208000,2019-05-09T00:05:26,39.47567,-75.56319,16.6,175.2,174.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
370299000,2019-05-09T00:05:34,39.36098,-75.4504,13.2,-92.6,318.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
311073800,2019-05-09T00:05:58,38.92947,-75.17006,9.0,148.2,148.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
368058330,2019-05-09T00:04:58,39.29051,-75.37,3.9,-93.3,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
538004030,2019-05-09T00:05:14,38.9275,-75.1627,0.1,-104.8,54.0,FRIO,IMO9596985,V7UU3,80.0,1.0,274.0,48.0,17.1,89.0,A
367120230,2019-05-09T00:05:50,38.93431,-75.1482,5.3,-110.5,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
338447000,2019-05-09T00:05:51,39.18118,-75.27219,9.6,-82.9,328.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
371361000,2019-05-09T00:05:58,38.94795,-75.17372,3.4,-95.6,307.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
366914210,2019-05-09T00:06:01,38.82729,-75.11182,11.9,13.4,20.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
368058330,2019-05-09T00:06:07,39.29137,-75.37117,3.9,-96.7,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
311000546,2019-05-09T00:06:48,38.9136,-75.15146,0.3,-74.2,89.0,,,,,1.0,,,,,A
240463000,2019-05-09T00:07:03,38.93993,-75.17358,0.0,-125.6,25.0,BOUBOULINA,IMO9298753,SZIS,80.0,1.0,274.0,50.0,17.0,80.0,A
370299000,2019-05-09T00:07:03,39.365,-75.45508,13.3,-92.6,318.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
538006702,2019-05-09T00:06:32,38.96654,-75.20086,0.5,-58.5,88.0,NAMSEN,IMO9761528,V7QJ6,80.0,1.0,,,,,A
367120230,2019-05-09T00:07:02,38.93488,-75.15029,5.2,-120.9,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
311073800,2019-05-09T00:07:17,38.92667,-75.16786,9.1,148.7,148.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
369235000,2019-05-09T00:06:59,38.93475,-75.15167,6.7,-123.3,279.0,OSG VISION,IMO9436537,WDF2493,31.0,0.0,46.0,15.0,6.5,57.0,B
371361000,2019-05-09T00:07:29,38.9489,-75.17515,3.5,-99.6,312.0,PACIFIC DAWN,IMO9307140,3ECJ9,80.0,0.0,238.0,42.0,14.8,80.0,B
338447000,2019-05-09T00:07:01,39.18385,-75.27417,9.5,-74.1,335.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
367006540,2019-05-09T00:05:59,39.50411,-75.55649,11.2,196.1,194.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
249208000,2019-05-09T00:06:31,39.47055,-75.56262,16.9,174.3,175.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
366914210,2019-05-09T00:07:11,38.83114,-75.11058,12.3,14.5,21.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
367090580,2019-05-09T00:07:54,38.93827,-75.30022,24.4,128.5,511.0,BIG STONE 5,,WSE3119,60.0,0.0,15.0,4.0,,50.0,A
249208000,2019-05-09T00:07:55,39.46392,-75.56176,17.2,173.5,174.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,B
367006540,2019-05-09T00:07:39,39.49912,-75.55824,11.1,195.2,194.0,RHEA I BOUCHARD,IMO8117964,WRQ4509,31.0,0.0,34.0,10.0,4.5,,B
357092000,2019-05-09T00:07:33,38.86822,-75.11369,1.0,-138.2,45.0,LAVIEEN ROSE,IMO9700562,3FKN,70.0,1.0,179.0,28.0,10.1,,A
368058330,2019-05-09T00:08:47,39.2935,-75.37371,3.9,-93.0,511.0,PURPLE  HAYS,,WDC9127,52.0,0.0,24.0,8.0,3.0,52.0,B
370299000,2019-05-09T00:08:24,39.36862,-75.45933,13.3,-92.6,318.0,MORNING CAMILLA,IMO9477919,H3LJ,70.0,0.0,199.0,32.0,10.0,70.0,B
338447000,2019-05-09T00:08:12,39.1867,-75.2759,9.6,-72.5,338.0,OSG HORIZON,IMO9436549,WDF6180,31.0,0.0,46.0,15.0,6.5,57.0,B
367090580,2019-05-09T00:06:40,38.94304,-75.3079,21.6,129.3,511.0,BIG STONE 5,,WSE3119,60.0,0.0,15.0,4.0,,50.0,A
311073800,2019-05-09T00:08:18,38.92452,-75.16618,9.0,148.5,148.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
366914210,2019-05-09T00:08:22,38.8349,-75.10913,11.7,20.6,31.0,DELAWARE,IMO8990304,WYU8553,60.0,0.0,91.0,20.0,,,B
367120230,2019-05-09T00:08:11,38.93551,-75.15269,8.7,-124.3,511.0,SONIE,IMO9373723,WDD2812,31.0,0.0,24.0,9.0,4.0,52.0,B
367090580,2019-05-09T00:09:12,38.93916,-75.28985,24.4,71.4,511.0,BIG STONE 5,,WSE3119,60.0,0.0,15.0,4.0,,50.0,B
538004030,2019-05-09T00:08:17,38.92785,-75.16311,0.1,-92.6,66.0,FRIO,IMO9596985,V7UU3,80.0,1.0,274.0,48.0,17.1,89.0,A
249208000,2019-05-09T00:09:19,39.45728,-75.56053,17.2,165.3,159.0,JS INEOS INSPIRATION,IMO9685451,9HA4150,80.0,0.0,180.0,,,,A
311073800,2019-05-09T00:09:28,38.92196,-75.16423,9.0,149.8,148.0,EURO,IMO9567702,C6AA5,84.0,0.0,274.0,48.0,-11.5,84.0,B
